Title,Date,Content,Sentiment
"F&O Watch for Feb 9: Biocon, PNB placed on NSE ban list ",09-Feb-24,"
    Canara Bank, Tata Chemicals, Piramal Enterprises, RBL Bank, Aditya Birla Fashion and Retail, GNFC, GMR Airports Infra, Bandhan Bank, PVR Inox and Manappuram Finance may enter the ban list as these stocks are near the 95 percent MWPL.  Results on February 9: Hero MotoCorp, Tata Power Company, Honasa Consumer, Zydus Lifesciences, Alkem Laboratories, Bajaj Hindusthan Sugar, Bandhan Bank, Campus Activewear, Cello World, DOMS Industries, Emami, Finolex Cables, Happy Forgings, Inox Green Energy Services, Indian Railway Finance Corporation, MRF, The New India Assurance Company, Pfizer, PI Industries, Shree Renuka Sugars, Shipping Corporation of India, SJVN, and Sundaram-Clayton will release December quarter earnings on February 9.
Indus Towers (107.91 percent), Steel Authority of India (103.47 percent), Biocon (101.62 percent), India Cements (99.58 percent), PNB (97.21 percent), Delta Corp (96.86 percent), Balrampur Chini Mills (95.30 percent), Aurobindo Pharma (95.18 percent), Ashok Leyland (93.56 percent), Hindustan Copper (91.90 percent), UPL (83.81 percent) and National Aluminium Company (81.70 percent) have been placed on the National Stock Exchange’s futures and options (F&O) ban on trade for February 9.

These stocks are prohibited in the F&O sector because they have exceeded the 95 percent of the market-wide position limit (MWPL). The ban is reversed only if the open interest falls below 80 percent.

Possible Entrants

Canara Bank (90.75 percent), Tata Chemicals (89.97 percent), Piramal Enterprises (88.73 percent), RBL Bank (88.51 percent), Aditya Birla Fashion and Retail (85.19 percent), GNFC (84.82 percent), GMR Airports Infra (84.00 percent),Bandhan Bank (82.99 percent), PVR Inox (82.29 percent) and Manappuram Finance (80.80 percent) may enter the ban list as these stocks are hovering near the 95 percent MWPL.




    ",
"Tata Power shares: Nuvama sees 23% downside, cuts stock price target to Rs 303",12-Feb-24,"
    
Tata Power target price: Nuvama has cut its rating on Tata Power to 'reduce' from 'Hold' with a revised target price of Rs 303, hinting at 23 per cent potential downside.Tata Power share price: Nuvama is watchful of upcoming growth potential from pumped hydro, rooftop solar, C&I PPAs with Tata group for RE, and new distribution privatisation.
Nuvama Institutional Equities expects Tata Power Company Ltd to report a flattish-to-low growth over FY24-25E amid falling coal realisations as it sees rising contribution of renewable energy to take two–three years to play out. The domestic brokerage is watchful of upcoming growth potential from pumped hydro, rooftop solar, C&I PPAs with Tata group for RE, and new distribution privatisation.   For now, Nuvama has cut its rating on Tata Power to 'reduce' from 'Hold' with a revised target price of Rs 303, hinting at 23 per cent potential downside.

In the December quarter, Tata Power reported a consolidated profit after tax of Rs 1,076.12 crore, up 2.28 per cent. Coal profits fell 81 per cent YoY coupled with CGPL losses, offset by growth in solar EPC, Odisha Discom and Tata Projects.

On a nine-month basis, PAT declined 6 per cent YoY, adjusted for one-off dividend from ITPC Zambian asset (past regulatory dues).

""Tata Power had cut its FY27 PAT guidance by Rs 2,000 crore. While the RE business is yet to reach 3-4GW additions/year required to meet FY27 PAT targets, falling coal profits remains a drag. Despite our bull case of CGPL profits u/s11, Coal at 130$, and RE at Rs 40,000 crore deal value, we find 23 per cent downside,"" the domestic brokerage said.  Nuvama assumes CGPL to remain profitable as it expects assume sec-11 benefits to remain till perpetuity (currently till June 2024). The coal profits for the first nine months fell by estimated 81 per cent to Rs 570 crore, on falling coal realisation.

This was offset by rising profits of Solar EPC and Odisha distribution. Tata Power's captive solar module factory has commissioned. It expects to start solar cell production by June 2024.

""Much of this captive cell/module capacity shall be used for captive supply to its solar IPP/EPC/rooftop segments with some export optionality. Tata Power has signed an MoU with Maharashtra government for brownfield development of 2.8GW pumped hydro storage at its existing hydro assets (expected CoD by FY27–28). TPREL has won FDRE projects from SJVN of 1,316MW, solar 460MW, Wind 799MW and BESS 57.5MW,"" Nuvama noted.  Nuvama said Tata Power's net debt as on 9MFY24 stood at Rs 38,600 crore with net debt to equity ratio remaining healthy at 1.04 times, which is expected to grow to 1.5–2 times as capacity expands.



    ",
Tata Power Q3 results today: shares drop over 5% ahead of announcement,09-Feb-24,"
    Shares of Tata Power dropped 5.5% to Rs 385 in Friday’s intraday trade on BSE ahead of the company's December quarter results due later in the day.Around 11:24 am, Tata Power was trading 5% lower at Rs 387 on BSE. However, the stock has risen over 13% in the last one month, and nearly 90% in the past one year.Also Read: Paytm dip buyers burn fingers as shares fall another 9% todayIn the September quarter of FY24, the firm had reported a 7% year-on-year (YoY) increase in its consolidated net profit at Rs 876 crore. It was Rs 819 crore in the same period last year.Its revenue from operations in the September quarter jumped 12% to Rs 15,738 crore, compared with Rs 14,031 crore in the year-ago quarter.The company had reported an EBITDA of Rs 3,090 crore in the July-September period, up 76% YoY from Rs 1,759 crore a year ago. Meanwhile, its margins had improved to 19.6% in the reporting period.During the Q2 quarter, 84% contribution in the company’s PAT came from the core businesses, while the contributions from overseas JVs, including coal mining operations, continued to decline.In the renewable energy business in Q2 FY24, the total renewables capacity of Tata Power Renewable Energy stood at 7,961 MW with an installed capacity of 4,206 MW and 3,755 MW under various stages of implementation. The utility scale order book was at 3.7 GW worth Rs 15,870 crore with the rooftop solar and group captive order book at Rs 2,872 crore.The company’s clean energy portfolio achieved the milestone of 5,500 MW during the September quarter, standing at 38% of total installed generation capacity.As per Trendlyne data, the average target price of the stock is Rs 292, which shows a downside of 24% from the current market prices. The consensus recommendation from 19 analysts for the stock is a 'Hold'.Technically, the stock's day RSI (14) is at 83.7. The RSI below 30 is considered oversold, and above 70 is overbought, Trendlyne data showed. MACD is at 15.9, which is above its centre and signal line, this is a bullish indicator."",




    ",
Tata Power shares fall 4.6% despite strong Q3 numbers; what should investors do?,12-Feb-24,"
    Tata Power share price: Morgan Stanley maintained an ‘underweight’ rating on Tata Power with a target price of Rs 213, while CLSA maintained a 'sell' call on the stock and raised its target to Rs 249 from Rs 240
a Power share price: Shares of Tata Group's power company Tata Power fell as much as 4.6 per cent on Monday, February 12, even after the electricity generator reported strong results for Q3 FY24, which was better than analysts' estimates.

Last seen, the company's shares were trading 2.19 per cent lower at Rs 383.50 apiece on the BSE. Eventually, Tata Power's stock traded at Rs 361.75 each, down 7.74 per cent on the BSE today.



    ",
What do brokerages say about Tata Power's stock?,12-Feb-24,"
    

Morgan Stanley has maintained an ‘underweight’ rating on Tata Power with a target price of Rs 213. The brokerage noted that the earnings miss in Q3 was due to slower growth in regulated businesses and lower margins in utility-scale renewables. ""Commissioning of renewable energy remains sluggish, while key positives were solar EPC business execution and improved profitability of coal JV,"" it added.

On the other hand, CLSA maintained a 'sell' call on the stock but raised the target on the stock to Rs 249 from Rs 240 earlier. On the other hand, JM Financial has maintained a ""buy"" call and raised the target by Rs 90 each from Rs 350 to Rs 450.


    ",
Here's what Tata Power's management says,12-Feb-24,"In a conversation with Zee Business' managing editor Anil Singhvi, Tata Power's CEO and MD, Praveer Sinha, said, ""We have earned around 71 per cent profit from our core business this time, which was 45 per cent earlier. This is a very good trend, as it improves our fundamentals.""

The company has reported growth for the 17th quarter in a row. As regards the solar rooftops, Sinha said that 3-5 KW solar rooftops will be installed in houses. ""If we talk about 1 lakh crore households, there will be an addition of 30 GW capacity,"" the CEO added.

Tata Power is India's leading solar company. It is present in 400 cities and is working with over 500 channel partners. The company has received a good opportunity from the government's Arunodoi Scheme. This is likely to increase the company's revenue to Rs 1,50,000 crore if 30 GW is installed. It has a 15 per cent market share.

""Tata Power is also working on increasing its EV penetration,"" said Sinha. The company has a 55 per cent market share in the EV segment and has already installed 5.5K public charges.
    




    ",
Alfa Transformers wins order from Tata Power Southern Odisha Distribut..,15-Jan-24,"
    Alfa Transformers announced that the company's Vadodara plant has received a purchase order worth of Rs. 1.09 crore from Tata Power Southern Odisha Distribution. The order is for design, manufacturing and supply of 100KVA 11/0.4KV AL Transformers BIS Level-Il from Vadodara plant.




    ",
Alfa Transformers Ltd receives order worth Rs. 1.60 crore,12-Jan-24,"
    

Alfa Transformers Limited's Bhubaneswar plant has received a purchase order worth of Rs. 1.60 Crore from Tata Power Southern Odisha Distribution Limited (TPSODL).

The order is for Design, Manufacturing and Supply of 7-11 KV 500KVA Line Voltage Regulator Transformers from Bhubaneswar plant.

Shares of ALFA TRANSFORMERS LTD. was last trading in BSE at Rs. 74.48 as compared to the previous close of Rs. 70.94. The total number of shares traded during the day was 98377 in over 456 trades.

The stock hit an intraday high of Rs. 74.48 and intraday low of 71.40. The net turnover during the day was Rs. 7310567.00.


    ",
"Alfa Transformers hits the roof on bagging contract from Tata Power Northern Odisha Distribution
Alfa Transformers was locked in 5% upper circuit at Rs 74.48 after the company informed that it has received a purchase order worth of Rs 1.99 crore from Tata Power Northern Odisha Distribution (TPNODL).",29-Dec-23,"
    
The contract is for design, manufacturing and supply of 100KVA 11/4KV AL transformers from Vadodara plant. The said contract has to executed within a period of forty-five days from the date of receipt of order.
Alfa Transformers manufactures small distribution transformers and offers related technical assistance and services, including repair work. The company has two manufacturing units located at Bhubaneswar and Vadodara.
The company's consolidated net profit had zoomed to Rs 6.06 crore in the quarter ended September 2023 as against Rs 0.28 crore during the previous quarter ended September 2022. Sales rose 122.28% to Rs 13.87 crore in Q2 FY24 over Q2 FY23.



    ",
" 
    Alfa Transformers Ltd's Vadodara plant receives order worth Rs. 1.99 crore.
    ",28-Dec-23,"
    

Alfa Transformers Limited's Vadodara plant has received a purchase order worth of Rs. 1.99 Crore from Tata Power Northern Odisha Distribution Limited (TPNODL).

The order is for Design, Manufacturing and Supply of 100KVA 11/4KV AL Transformers from Vadodara plant.

Shares of ALFA TRANSFORMERS LTD. was last trading in BSE at Rs. 70.94 as compared to the previous close of Rs. 71.97. The total number of shares traded during the day was 81168 in over 565 trades.

The stock hit an intraday high of Rs. 73.90 and intraday low of 68.50. The net turnover during the day was Rs. 5712747.00.


    ",
"   
    Tata Power arm to build 43.75 MW solar project for Mukand Ltd
    
    ",28-Oct-23,"
    Tata Power Renewable Energy Ltd (TPREL), a wholly-owned subsidiary of Tata Power, has received a letter of award (LoA) from Mukand Ltd to build a 43.75 MW solar project in Maharashtra.

The project will be executed on a turnkey basis and is expected to be commissioned in 18 months from the date of signing of the power purchase agreement (PPA), Tata Power said in a statement.

The project will generate 80 million units of electricity per annum and will help Mukand Ltd offset approximately 80,000 tonnes of carbon dioxide emissions annually.

""We are pleased to announce that Tata Power Renewable Energy Ltd has received the LoA from Mukand Ltd to build a 43.75 MW solar project in Maharashtra. This is a significant milestone for us as we continue to expand our renewable footprint in the country,"" Tata Power MD and CEO Praveer Sinha said.

Tata Power has been a pioneer in the renewable energy sector and has a renewable portfolio of over 4,000 MW. The company is committed to the mission of 'Lighting up Lives' and is focused on building a greener and more sustainable future for the country, he added.

TPREL is one of the largest renewable energy companies in India with a clean energy portfolio of 4,016 MW.

Mukand Ltd is a leading integrated steel producer in India, manufacturing a wide range of steel products for various industries.

Tata Power is India's largest integrated power company with a growing international presence. The company together with its subsidiaries and jointly controlled entities has an installed capacity of 12,712 MW.

With a presence in all the segments of the power sector, the company is on a path to becoming a leading clean energy solutions provider.




    ",
"   
    Tata Power arm inks pact to build 43.75 MW solar project for Mukand Ltd
    
    ",29-Oct-23,"
    Tata Power Renewable Energy Ltd (TPREL), a wholly-owned subsidiary of Tata Power, has inked a pact with Mukand Ltd to build a 43.75 MW solar project in Maharashtra.

The project will be executed on a turnkey basis and is expected to be commissioned in 18 months from the date of signing of the power purchase agreement (PPA), Tata Power said in a statement.

The project will generate 80 million units of electricity per annum and will help Mukand Ltd offset approximately 80,000 tonnes of carbon dioxide emissions annually.

""We are pleased to announce that Tata Power Renewable Energy Ltd has inked a pact with Mukand Ltd to build a 43.75 MW solar project in Maharashtra. This is a significant milestone for us as we continue to expand our renewable footprint in the country,"" Tata Power MD and CEO Praveer Sinha said.

Tata Power has been a pioneer in the renewable energy sector and has a renewable portfolio of over 4,000 MW. The company is committed to the mission of 'Lighting up Lives' and is focused on building a greener and more sustainable future for the country, he added.

TPREL is one of the largest renewable energy companies in India with a clean energy portfolio of 4,016 MW.

Mukand Ltd is a leading integrated steel producer in India, manufacturing a wide range of steel products for various industries.

Tata Power is India's largest integrated power company with a growing international presence. The company together with its subsidiaries and jointly controlled entities has an installed capacity of 12,712 MW.

With a presence in all the segments of the power sector, the company is on a path to becoming a leading clean energy solutions provider.




    ",
"   
    
    TPREL and Supreme Petrochem to set up 12.5 MW captive solar plant in Maha
    ",10-May-23,"
    
Tata Power Renewable Energy Ltd (TPREL) and Supreme Petrochem Ltd have signed a power purchase agreement (PPA) to set up a 12.5 MW captive solar plant in Maharashtra.

The project will be executed on a turnkey basis and is expected to be commissioned in 18 months from the date of signing of the PPA, Tata Power said in a statement.

The project will generate 20 million units of electricity per annum and will help Supreme Petrochem Ltd offset approximately 20,000 tonnes of carbon dioxide emissions annually.

""We are pleased to announce that TPREL and Supreme Petrochem Ltd have signed a PPA to set up a 12.5 MW captive solar plant in Maharashtra. This is a significant milestone for us as we continue to expand our renewable footprint in the country,"" Tata Power MD and CEO Praveer Sinha said.

Tata Power has been a pioneer in the renewable energy sector and has a renewable portfolio of over 4,000 MW. The company is committed to the mission of 'Lighting up Lives' and is focused on building a greener and more sustainable future for the country, he added.

TPREL is one of the largest renewable energy companies in India with a clean energy portfolio of 4,016 MW.

Supreme Petrochem Ltd is a leading petrochemical company in India, manufacturing a wide range of petrochemical products for various industries.

Tata Power is India's largest integrated power company with a growing international presence. The company together with its subsidiaries and jointly controlled entities has an installed capacity of 12,712 MW.

With a presence in all the segments of the power sector, the company is on a path to becoming a leading clean energy solutions provider.



    ",
"   Stocks to Watch: Cipla, Dixon Tech, Oberoi Realty, Tata Power, Barbeque Nation
    
    
    ",28-Sep-23,"
    
Arm Tata Power Renewable Energy Ltd announced its plans to establish a 41 MW captive solar power facility in Tamil Nadu, specifically to cater to TP Solar's forthcoming 4.3 GW solar cell manufacturing unit. 



    ",
"   Tata Power shares up 7% in five sessions; check target price, support level & other details
    
    
    ",16 Nov 2023,"
    

The stock rose 2.45 per cent to hit a day high of Rs 265.50.
At this price, the scrip has gained 7.08 per cent in five trading days.
And, it has ascended by 26 per cent in the last six months.


    ",
"   Buzzing Stocks: Tata Power, Zomato, Wipro, BHEL, Siemens, Aster DM, others in news

    
    
    ",29 Oct 2023,"
    


ata Power Company: Subsidiary Tata Power Renewable Energy has received a Letter of Award (LOA) for developing a 200 MW firm and dispatchable renewable energy (FDRE) project with SJVN. The installation of the said project will offset ~9 lakh metric tonnes of CO2 emissions annually.

    ",
"   Tata Power share price: Q2 profit may grow in double digits, margin improvement likely
    
    
    ",08 Nov 2023,"
    

 Shares of Tata Power Company Ltd will be in focus in Wednesday's trade as the company will post its second-quarter results later today. The scrip settled 0.18% higher at ₹250 apiece on the NSE on Tuesday.

Domestic brokerage house Kotak Institutional Equities expects Tata Power's adjusted profit after tax to rise 35.80% year-on-year (YoY) at ₹1,112.40 crore for the July to September quarter. Kotak said sales for the quarter under review may increase 6.6% YoY to ₹15,100 crore.

JM Financial sees net sales for Tata Power to improve 15% to ₹16,096.80 crore on account of the Mundra plant being operational under Section-11, as well as higher generation from renewables portfolio. Profit, it said, may improve 13% YoY to ₹928.30 crore on the back of reduction in AT&C losses in Odisha circle and lower losses from Mundra plant.

Tata Power shares have clocked decent gains of 23% in the last six months but have seen limited gains of 8% in the last one year. The Tata Group stock is among the top picks of IDBI Capital with a target price of ₹339, indicating a further upside of 35.6% from the current market levels.

IDBI Capital cited strong power demand behind its bullish stance. The likely upside is also supported by CGPL Mundra plant of the company turning profitable, as per the brokerage. ""In Mundra, losses are restricted due to cost pass-through benefits under Section-11 and thus need to watch for signing of long-term power purchase agreement. And this will resolve long pending concern for Tata Power.""

Tata Power's Q2 results are expected to be driven by higher revenue from core businesses of generation, transmission and distribution. The company's adherence to financial discipline, operational excellence along with business resilience and diversification has helped it in maintaining consistent profit growth.

The company is focusing on new areas of growth such as a greenfield solar cell and module manufacturing plant in Tamil Nadu, which has produced its first module in this quarter and is on track to roll out the first cell into Q4FY24.

The net debt to underlying EBITDA improved to 2.65x during the second quarter from 2.73x in Q1 and net debt to equity was bettered to 1.02x.

The company’s clean energy portfolio achieved the milestone of 5,500 MW during the reporting quarter, standing at 38% of total installed generation capacity.

In the renewable energy business, the total renewables capacity of Tata Power Renewable Energy stood at 7,961 MW with an installed capacity of 4,206 MW and 3,755 MW under various stages of implementation. The utility scale order book was at 3.7 GW worth Rs 15,870 crore with the rooftop solar and group captive order book at Rs 2,872 crore.

Tata Power's Q2 results are likely to be positive, with profit growth expected in double digits and margin improvement. The company's focus on core businesses and new areas of growth, along with its adherence to financial discipline, is likely to drive its performance in the quarter.


    ",
"   
    
    Stocks to Watch: Tata Power, IRCTC, Oberoi Realty, Manappuram Finance, Tech Mahindra, Adani Enterprises
    ",21 Nov 2023,"
    
    Tata Power: The power company is set to announce its Q2 results today. Analysts expect the company's profit to grow in double digits, driven by higher revenue from core businesses of generation, transmission, and distribution. The company's adherence to financial discipline, operational excellence, and business resilience and diversification has helped it maintain consistent profit growth.
    




    ",
"   Tata Power Q1 Results Preview: EBITDA likely to rise 58% YoY; Mundra plant's performance key monitorable
    
    
    ",08 Aug 2023,"
    
    
    
Tata Power, one of India's largest integrated power companies, is set to announce its Q1 results for the financial year 2023 (FY23) on July 29, 2022. Analysts expect the company's EBITDA (Earnings Before Interest, Taxes, Depreciation, and Amortization) to rise by 58% YoY to ₹2,850 crore, driven by improved performance from its Mundra plant and other core businesses.

The Mundra plant, which has been a drag on the company's financials in the past, is expected to perform better in Q1 FY23 due to the implementation of the Section-11 provision, which allows the company to pass on the increase in coal prices to its customers. The company has also been able to reduce its debt levels, which is likely to improve its profitability.

In addition to the Mundra plant, the company's other core businesses, such as generation, transmission, and distribution, are also expected to perform well in Q1 FY23. The company's renewable energy portfolio, which accounts for 38% of its total installed generation capacity, is also expected to contribute positively to its earnings.

Analysts expect Tata Power's revenue to grow by 15% YoY to ₹11,500 crore in Q1 FY23, driven by higher revenue from its core businesses and new areas of growth. The company's net profit is expected to grow by 40% YoY to ₹750 crore in Q1 FY23.

Investors will be closely monitoring the company's performance in Q1 FY23, especially its Mundra plant's performance, as it has been a key monitorable for the company. The company's adherence to financial discipline, operational excellence, and business resilience and diversification is likely to drive its performance in the quarter.

Tata Power has been focusing on new areas of growth, such as a greenfield solar cell and module manufacturing plant in Tamil Nadu, which has produced its first module in this quarter and is on track to roll out the first cell into Q4FY24. The net debt to underlying EBITDA improved to 2.65x during the second quarter from 2.73x in Q1 and net debt to equity was bettered to 1.02x.

The company’s clean energy portfolio achieved the milestone of 5,500 MW during the reporting quarter, standing at 38% of total installed generation capacity. In the renewable energy business, the total renewables capacity of Tata Power Renewable Energy stood at 7,961 MW with an installed capacity of 4,206 MW and 3,755 MW under various stages of implementation. The utility scale order book was at 3.7 GW worth Rs 15,870 crore with the rooftop solar and group captive order book at Rs 2,872 crore.

In conclusion, Tata Power's Q1 FY23 results are expected to be positive, with EBITDA likely to rise by 58% YoY and revenue expected to grow by 15% YoY. The company's Mundra plant's performance and its adherence to financial discipline, operational excellence, and business resilience and diversification are likely to drive its performance in the quarter.



    ",
"   Encouraging results for April-June quarter of FY24 lifts Tata Power stock
    
    
    ",10 Aug 2023,"
    
    
    Tata Power's stock price rose by 3.5% on Wednesday, May 12, 2024, after the company reported encouraging results for the April-June quarter of FY24. The power company's net profit for the quarter came in at ₹ 1,045 crore, up 11% YoY from ₹ 938.8 crore in the same period last year. The company's revenue from operations for the quarter stood at ₹ 15,738 crore, a 12% YoY increase from ₹ 14,031 crore in the year-ago quarter.

Tata Power's EBITDA for the quarter came in at ₹ 3,090 crore, up 76% YoY from ₹ 1,759 crore in the same period last year. The company's margins improved to 19.6% in the reporting period.

The company's renewable energy business also performed well in the quarter. The total renewables capacity of Tata Power Renewable Energy stood at 7,961 MW with an installed capacity of 4,206 MW and 3,755 MW under various stages of implementation. The utility scale order book was at 3.7 GW worth ₹ 15,870 crore with the rooftop solar and group captive order book at ₹ 2,872 crore.

The company's clean energy portfolio achieved the milestone of 5,500 MW during the quarter, standing at 38% of total installed generation capacity.

Tata Power's Q1 results were better than expected, with the company reporting a net profit of ₹ 1,045 crore, up 11% YoY. The company's revenue from operations for the quarter stood at ₹ 15,738 crore, a 12% YoY increase. The company's EBITDA for the quarter came in at ₹ 3,090 crore, up 76% YoY from ₹ 1,759 crore in the same period last year.

The company's renewable energy business also performed well in the quarter, with the total renewables capacity of Tata Power Renewable Energy standing at 7,961 MW. The utility scale order book was at 3.7 GW worth ₹ 15,870 crore with the rooftop solar and group captive order book at ₹ 2,872 crore.

Tata Power's Q1 results were well received by the market, with the company's stock price rising by 3.5% on Wednesday, May 12, 2024. The company's encouraging results for the April-June quarter of FY24 have lifted Tata Power's stock, making it a stock to watch in the coming days.




    ",
"   Buy Tata Power Company, target price Rs 246.5 : ICICI Direct
    
    
    ",23 Aug 2023,"
    
    ICICI Direct has a buy call on Tata Power Company with a target price of Rs 246.5. The current market price of Tata Power Company is Rs 244.75. ICICI Direct recommended keeping a stop loss at Rs 241.3.

Tata Power Company, incorporated in the year 1919, is a Mid Cap company operating in the Power sector. The company's key products/revenue segments include Fly Ash, Power Supply, Other Operating Revenue, Project Management Fees, and Income from Finance Leases.

For the quarter ended 30-06-2023, the company has reported a Consolidated Total Income of Rs 15484.71 Crore, up 16.21% from the last quarter Total Income of Rs 13325.30 Crore and up 5.78% from the last year same quarter Total Income of Rs 14638.78 Crore. The company has reported a net profit after tax of Rs 790.30 Crore in the latest quarter.

The investment rationale for buying Tata Power Company includes a falling channel breakout and price resuming an uptrend after taking support at the 20-day EMA, indicating further upsides in coming sessions.

Promoters held 46.86% stake in the company as of 30-Jun-2023, while FIIs owned 9.75% and DIIs 14.54%.
    




    ",
"   
    Tata Power Company Share Price Today Live Updates: 01-Aug-2023
    
    ",01 Aug 2023,"
    Tata Power stock closed at a price of ₹245.05, down -0.95% from yesterday's ₹247.4.

    Today's Price Range
The low price of Tata Power stock for the current day is ₹244.3, while the high price is ₹249.6.

Tata Power Share Price NSE Live
Tata Power trading at ₹245.15, down -0.91% from yesterday's ₹247.4.
    
    




    ",
"   
    BackBack
From HDFC Bank to Coforge: Yes Securities recommends 10 stocks to buy for August
    
    ",08 Aug 2023,"
    
    Tata Power - Tata Power continues to steadily move towards its long-term aspiration built on businesses of the future, according to Ambani. This is clearly visible from the improvement seen in the operational and financial metrics in each passing quarter. The company's performance will improve as with rapidly growing generation capacity at its disposal, and a strengthened focus on EV and renewables businesses.
    




    ",
